,x,y,z,qx,qy,qz,qw,type,map
0,-26.5102168113,4.25100302645,0.525548213412,-0.0228893979708,0.0019037626027,-0.727966412504,0.685227957263,1.0,0.0
1,-26.4288310107,3.25420090273,0.53413543311,-0.0171449543662,-0.0140658043886,-0.551256574093,0.834041002113,1.0,0.0
2,-25.8409441567,2.42314088,0.578471092072,-0.0115838782633,-0.0195850846241,-0.44348336734,0.89599371712,1.0,0.0
3,-25.444244286,1.48428892803,0.638838825676,-0.0169199255931,-0.0134508235448,-0.535806947369,0.844063804825,1.0,0.0
4,-25.0339410771,0.504586561707,0.654263945043,-0.0192245969114,-0.000224448054055,-0.526783423109,0.849782083616,1.0,0.0
5,-24.6036572973,-0.444595381423,0.677150834586,-0.0115071604474,-0.00681756484613,-0.471845077299,0.881580018545,1.0,0.0
6,-24.2703309673,-1.40358410104,0.700090209919,-0.0210977558241,-0.0166198133185,-0.487805032606,0.872539349639,1.0,0.0
7,-24.0123339532,-2.37530903114,0.722516369974,-0.0156851094415,-0.0157797878398,-0.596527783428,0.802283976679,1.0,0.0
8,-23.9502808772,-3.38229120463,0.737567572413,-0.0195550190135,-0.0121323080309,-0.676084763054,0.736464392553,1.0,0.0
9,-23.5778234704,-4.34632037551,0.764380086153,-0.014453910841,-0.00915221631482,-0.596242518209,0.802622066029,1.0,0.0
10,-23.2858778401,-5.35681736846,0.79951558717,-0.0142641021452,-0.0131648315778,-0.576710961093,0.816717631715,1.0,0.0
11,-22.9166765165,-6.298216209,0.811310517502,-0.0170032905553,-0.0047661798967,-0.599575877226,0.800123077462,1.0,0.0
12,-22.5522066395,-7.2490587411,0.833051888252,-0.013787583263,-0.00178325349748,-0.600551347612,0.799465322222,1.0,0.0
13,-21.6326317716,-7.67846311597,0.80417603233,-0.0201741087286,0.00218807094721,-0.533268930999,0.84570235007,1.0,0.0
14,-20.8594548235,-8.3874588188,0.807151773461,-0.0150776698381,-0.00746473979298,-0.516934569335,0.855859563572,1.0,0.0
15,-20.1397897997,-9.0953989572,0.840733620191,-0.0203185202542,-0.0074444332239,-0.513773183454,0.857653108262,1.0,0.0
16,-19.2718830479,-8.58303893099,0.810139518772,-0.00918506000467,-0.00876082623159,-0.491408290311,0.870836824446,1.0,0.0
