,x,y,z,qx,qy,qz,qw,type,map
0,1.59633910656,6.63934612274,0.0,0.0,0.0,0.999558925629,0.0296980142593,1.0,0.0
1,0.597822129726,6.73235607147,0.0,0.0,0.0,0.997394323349,0.0721424147487,1.0,0.0
2,-0.434074521065,6.87530994415,0.0,0.0,0.0,0.994641661644,0.103382624686,1.0,0.0
3,-1.43815982342,6.97853422165,0.0,0.0,0.0,0.999756336212,0.0220733396709,1.0,0.0
4,-2.46448111534,7.09254264832,0.0,0.0,0.0,0.9968059659,0.0798618122935,1.0,0.0
5,-3.55844593048,7.24999666214,0.0,0.0,0.0,0.999413013458,0.034258056432,1.0,0.0
6,-4.57194280624,7.13574838638,0.0,0.0,0.0,-0.998578667641,0.0532978400588,1.0,0.0
7,-5.69739341736,7.14720630646,0.0,0.0,0.0,0.999304831028,0.0372802205384,1.0,0.0
8,-6.86577272415,7.3255777359,0.0,0.0,0.0,0.997295856476,0.0734914913774,1.0,0.0
9,-7.88982772827,7.49089288712,0.0,0.0,0.0,0.996132671833,0.0878621339798,1.0,0.0
10,-9.03370380402,7.66204071045,0.0,0.0,0.0,0.99436378479,0.106021992862,1.0,0.0
11,-10.0712928772,7.84335374832,0.0,0.0,0.0,0.995745480061,0.092145986855,1.0,0.0
12,-11.097073555,7.93941354752,0.0,0.0,0.0,0.997972786427,0.0636419728398,1.0,0.0
13,-12.3003997803,8.10980796814,0.0,0.0,0.0,0.997971773148,0.0636583939195,1.0,0.0
14,-13.499080658,8.30364513397,0.0,0.0,0.0,0.994772970676,0.102111466229,1.0,0.0
15,-14.5967636108,8.6759262085,0.0,0.0,0.0,0.988646268845,0.150261700153,1.0,0.0
16,-15.5946750641,9.07409286499,0.0,0.0,0.0,0.966818869114,0.255462825298,1.0,0.0
17,-16.766576767,9.9063167572,0.0,0.0,0.0,0.933664441109,0.358149051666,1.0,0.0
18,-17.5774402618,10.6799917221,0.0,0.0,0.0,0.899136722088,0.437667816877,1.0,0.0
19,-18.2437095642,11.4307689667,0.0,0.0,0.0,0.968986988068,0.247111678123,1.0,0.0
20,-19.1729202271,11.8890514374,0.0,0.0,0.0,0.93995475769,0.341299086809,1.0,0.0
21,-19.7958278656,12.7544517517,0.0,0.0,0.0,0.828822910786,0.559511065483,1.0,0.0
22,-20.3504543304,13.6816768646,0.0,0.0,0.0,0.846007525921,0.533170938492,1.0,0.0
23,-20.8633842468,14.6032915115,0.0,0.0,0.0,0.830973803997,0.556311607361,1.0,0.0
24,-21.2152938843,15.564409256,0.0,0.0,0.0,0.814903378487,0.579596817493,1.0,0.0
25,-21.4986820221,16.6242923737,0.0,0.0,0.0,0.771875977516,0.635773122311,1.0,0.0
26,-21.6223869324,17.9668083191,0.0,0.0,0.0,0.716318130493,0.697773873806,1.0,0.0
27,-21.9718742371,18.9652194977,0.0,0.0,0.0,0.729057848454,0.684452116489,1.0,0.0
