,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,358,-40.1709251404,-1.7716156244,0,0,0,0.9664068222,0.2570171356,1
1,359,-41.1046218872,-1.203045845,0,0,0,0.9597394466,0.2808918357,1
2,360,-41.9888458252,-0.7006319761,0,0,0,0.9647983313,0.2629907429,1
3,361,-42.8620452881,-0.1085495129,0,0,0,0.9491087198,0.314948678,1
4,362,-43.6946716309,0.449569732,0,0,0,0.962682128,0.2706346512,1
5,363,-44.5638809204,1.0126385689,0,0,0,0.9567979574,0.2907535732,1
6,364,-45.4470863342,1.5121551752,0,0,0,0.9719812274,0.235058412,1
7,365,-46.4452857971,2.0145902634,0,0,0,0.9712259173,0.2381599545,1
8,366,-47.3812675476,2.4257211685,0,0,0,0.983510077,0.1808532774,1
9,367,-48.3440933228,2.7656273842,0,0,0,0.9824151993,0.1867092848,1
10,368,-49.3447570801,3.2280158997,0,0,0,0.9655227661,0.2603186667,1
11,369,-50.1437835693,3.8304903507,0,0,0,0.936884582,0.3496388197,1
12,370,-50.9276123047,4.5001125336,0,0,0,0.9478288889,0.3187795877,1
13,371,-51.8294219971,5.0349082947,0,0,0,0.975884378,0.2182881236,1
14,372,-52.7769889832,5.4162292481,0,0,0,0.9773199558,0.2117681056,2
15,373,-53.701877594,5.9197497368,0,0,0,0.9631875753,0.2688302398,2
16,374,-54.5995292664,6.4667124748,0,0,0,0.9503843784,0.3110780716,2
17,375,-55.4365730286,7.1422610283,0,0,0,0.9294504523,0.3689469397,2
18,376,-56.0959129333,7.8961687088,0,0,0,0.8920276761,0.4519808292,2
19,377,-56.6556472778,8.778427124,0,0,0,0.854352355,0.5196942091,2
20,378,-56.9728012085,9.7772445679,0,0,0,0.7820193768,0.62325418,2
21,379,-57.0592880249,10.8157777786,0,0,0,0.6886917949,0.7250542045,2
22,380,-56.728969574,11.8312644958,0,0,0,0.5008687377,0.8655232787,2
23,381,-55.8420753479,12.3249921799,0,0,0,0.245091781,0.969499886,2
24,382,-54.7901496887,12.6418571472,0,0,0,0.1395971775,0.9902083874,2
25,383,-53.7386322021,12.9132709503,0,0,0,0.1056128815,0.9944072962,2
26,384,-52.7189865112,13.2245140076,0,0,0,0.1731833816,0.9848895669,2
27,385,-51.7722587585,13.6927404404,0,0,0,0.2944632471,0.955662787,2
28,386,-50.94323349,14.3048887253,0,0,0,0.3342388868,0.9424883723,2
29,387,-50.0617370605,14.8736543655,0,0,0,0.2827397883,0.9591966271,2
30,388,-49.1327133179,15.3781452179,0,0,0,0.270560205,0.9627030492,2
31,389,-48.2394599915,15.9616727829,0,0,0,0.3185996115,0.9478893876,2
32,390,-47.3949050903,16.5025405884,0,0,0,0.278939724,0.9603086114,2
33,391,-46.4986763,16.9513568878,0,0,0,0.2473803461,0.9689184427,2
34,392,-45.5602035522,17.4433307648,0,0,0,0.2191909552,0.9756819606,2
35,393,-44.6467094421,17.8586463928,0,0,0,0.1954657882,0.9807105064,2
36,394,-43.6912879944,18.2475662231,0,0,0,0.1785911173,0.9839233756,2
37,395,-42.6651420593,18.6388282776,0,0,0,0.1531170756,0.9882080555,2
38,396,-41.6491355896,18.9615955353,0,0,0,0.1306736618,0.9914254546,2
39,397,-40.6023368835,19.237411499,0,0,0,0.1073798016,0.9942180514,2
40,398,-39.5328521729,19.4747200012,0,0,0,0.092121087,0.9957478046,2
41,399,-38.4613304138,19.6944179535,0,0,0,0.0985189453,0.9951351881,2
42,400,-37.3979797363,19.9469280243,0,0,0,0.1234372184,0.9923523664,2
43,401,-36.3410263062,20.2520961761,0,0,0,0.1426484138,0.9897734523,2
44,402,-35.3130760193,20.5093154907,0,0,0,0.0970749557,0.9952770472,2
