,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,-0.110044978559,20.3510837555,0.0,0.0,0.0,0.61893337965,0.785443484783,1.0
1,1,-0.44488298893,19.9119682312,0.0,0.0,0.0,0.834399878979,0.55115956068,1.0
2,2,-0.700847804546,19.5506362915,0.0,0.0,0.0,0.918694019318,0.394970059395,1.0
3,3,-1.02422320843,19.7123241425,0.0,0.0,0.0,0.581425249577,0.813599824905,1.0
4,4,-0.840491294861,19.0806369781,0.0,0.0,0.0,0.612457811832,0.790503263474,1.0
5,5,-0.680331468582,18.4583053589,0.0,0.0,0.0,0.690778255463,0.723066627979,1.0
6,6,-0.586971223354,17.9692325592,0.0,0.0,0.0,0.775137901306,0.631792068481,1.0
7,7,-0.330098956823,17.3395595551,0.0,0.0,0.0,0.458852857351,0.888512253761,1.0
8,8,6.28857660294,8.53900337219,0.0,0.0,0.0,-0.992393612862,0.123105086386,1.0
9,9,6.1478676796,8.19119262695,0.0,0.0,0.0,-0.952540814877,0.304410904646,1.0
10,10,6.02568292618,7.91511631012,0.0,0.0,0.0,-0.912015855312,0.410154938698,1.0
11,11,6.16454410553,7.24254703522,0.0,0.0,0.0,-0.890617787838,0.45475268364,1.0
12,12,6.16721725464,6.8330078125,0.0,0.0,0.0,-0.715954720974,0.698146760464,1.0
13,13,6.13666009903,7.15158176422,0.0,0.0,0.0,-0.417338103056,0.908751308918,1.0
14,14,-0.643594026566,20.4807720184,0.0,0.0,0.0,0.522326767445,0.85274541378,1.0
15,15,-0.345545351505,20.6257667542,0.0,0.0,0.0,0.476121604443,0.879379451275,1.0
16,16,-0.0604834482074,20.8464546204,0.0,0.0,0.0,0.491512805223,0.870870351791,1.0
17,17,-0.227494373918,20.5710678101,0.0,0.0,0.0,0.455010354519,0.890486121178,1.0
18,18,-0.368010520935,20.2902889252,0.0,0.0,0.0,0.598013281822,0.801486194134,1.0
19,19,-0.306959807873,19.9727306366,0.0,0.0,0.0,0.436413615942,0.899746179581,1.0
20,20,0.00794981606305,19.106010437,0.0,0.0,0.0,0.651510298252,0.758639752865,1.0
21,21,-0.0905206128955,19.7773361206,0.0,0.0,0.0,0.65794223547,0.753068387508,1.0
22,22,0.241900235415,19.002450943,0.0,0.0,0.0,0.671118080616,0.741350471973,1.0
23,23,0.492284506559,18.1072769165,0.0,0.0,0.0,0.667958974838,0.744198083878,1.0
24,24,0.466380357742,17.7225646973,0.0,0.0,0.0,0.69686293602,0.717204332352,1.0
25,25,0.449001729488,17.4062347412,0.0,0.0,0.0,0.696762800217,0.717301607132,1.0
26,26,0.466822057962,17.0960559845,0.0,0.0,0.0,0.770997881889,0.636837720871,1.0
