,x,y,z,qx,qy,qz,qw,type,map
0,-35.5249099731,54.0004425049,0,0,0,0.022131525,0.9997550845,1,0
1,-34.492931366,53.7485427856,0,0,0,-0.0736215562,0.9972862601,1,0
2,-33.4672584534,53.5389595032,0,0,0,0.0033529375,0.9999943972,1,0
3,-32.4240112305,53.5735816956,0,0,0,0.0802403837,0.9967755675,1,0
4,-31.4319286346,53.7891693115,0,0,0,0.110824123,0.9938400388,1,0
5,-30.4454708099,53.9753303528,0,0,0,0.07121595,0.9974609017,1,0
6,-29.4110240936,54.0445098877,0,0,0,0.0547848493,0.9984982014,1,0
7,-28.3392543793,54.1476821899,0,0,0,0.0864570141,0.9962555766,1,0
8,-27.3250656128,54.2020225525,0,0,0,0.0454647355,0.998965919,1,0
9,-26.2672386169,54.1339187622,0,0,0,-0.041955512,0.9991194606,1,0
10,-25.2700462341,53.9832649231,0,0,0,-0.0581722893,0.9983065724,1,0
11,-24.2404327393,53.7858009338,0,0,0,-0.0917726532,0.9957799912,1,0
12,-23.1999092102,53.7045440674,0,0,0,0.0018350584,0.9999983311,1,0
13,-22.1465511322,53.7446365356,0,0,0,0.0367557742,0.9993242621,1,0
14,-21.0954761505,53.7896537781,0,0,0,0.0442811064,0.9990190864,1,0
15,-20.0579471588,53.8861808777,0,0,0,0.0585982762,0.9982816577,1,0
16,-19.0222835541,54.1333580017,0,0,0,0.0525223166,0.9986197352,1,0
17,-18.0165920258,54.4277877808,0,0,0,0.0597716011,0.9982120991,1,0
18,-16.9804134369,54.6369514465,0,0,0,0.1072911099,0.9942276478,1,0
19,-15.977309227,54.8873901367,0,0,0,0.1800151914,0.983663857,1,0
20,-14.9882688522,55.0466957092,0,0,0,0.0505100004,0.9987235665,1,0
21,-13.989153862,55.1007995605,0,0,0,-0.041179359,0.9991517663,1,0
22,-12.9935817719,54.8636932373,0,0,0,-0.0225963183,0.9997446537,1,0
23,-11.9750146866,54.7681655884,0,0,0,-0.012878391,0.9999170899,1,0
24,-10.9697952271,54.7843055725,0,0,0,-0.0348272622,0.9993933439,1,0
25,-9.9619789124,54.6838912964,0,0,0,-0.0533857606,0.9985739589,1,0
26,-8.9409170151,54.6831893921,0,0,0,0.0811508521,0.9967018366,1,0
27,-7.8885436058,54.8502235413,0,0,0,0.1411679387,0.9899856448,1,0
28,-6.8803653717,55.0133514404,0,0,0,0.1524257511,0.9883149266,1,0
29,-5.8754987717,55.2883262634,0,0,0,0.0829440653,0.9965541959,1,0
30,-4.8431854248,55.4086494446,0,0,0,0.0220003687,0.9997579455,1,0
31,-3.7901639938,55.5243415833,0,0,0,0.0061099292,0.9999813437,1,0
32,-2.7899672985,55.5417709351,0,0,0,-0.0052087251,0.9999864101,1,0
33,-1.7697070837,55.5940475464,0,0,0,-0.0150636174,0.9998865128,1,0
34,-0.7662997246,55.680683136,0,0,0,-0.0188463666,0.9998223782,1,0
35,0.2405687124,55.6419868469,0,0,0,-0.0286189578,0.9995903969,1,0
36,1.277469635,55.6249809265,0,0,0,-0.0111069614,0.9999383092,1,0
37,2.3159852028,55.6404037476,0,0,0,0.0046404186,0.9999892116,1,0
38,3.3617014885,55.6728172302,0,0,0,0.0080571305,0.9999675155,1,0
39,4.4102768898,55.6995735168,0,0,0,0.0170892887,0.9998539686,1,0
40,5.4125704765,55.7936668396,0,0,0,0.036138773,0.9993467927,1,0
41,6.4112520218,55.9636573792,0,0,0,0.0375808179,0.9992935658,1,0
42,7.4412240982,56.1471061707,0,0,0,0.0575100631,0.9983448982,1,0
43,8.4318408966,56.3339920044,0,0,0,0.0834812745,0.9965093732,1,0
44,9.4606285095,56.5551986694,0,0,0,0.0858856067,0.9963049889,1,0
