,x,y,z,qx,qy,qz,qw,type,map
0,-25.3905598694,4.6412448202,0.5155537891,-0.0099887206,-0.0168072538,-0.5841458194,0.8114132137,1,0
1,-24.9550302816,3.6637445906,0.5854531375,-0.0090171083,-0.0188624892,-0.5562966273,0.8307207477,1,0
2,-24.5627041143,2.7125574808,0.6041486096,-0.0114059549,-0.0243598021,-0.5563304945,0.830525668,1,0
3,-24.1223643499,1.7476698439,0.6575796427,-0.0121523571,-0.0199776401,-0.5501531614,0.8347363135,1,0
4,-23.6921259201,0.8321535421,0.6548632568,-0.0106951627,-0.0085232407,-0.5607894078,0.8278455218,1,0
5,-23.3469097819,-0.1139362123,0.6627243094,-0.0098001972,-0.0080098728,-0.5717368528,0.8203394232,1,0
6,-23.0252252693,-1.1293798195,0.6616533995,-0.007825422,-0.0074501049,-0.5814094023,0.8135394063,1,0
7,-22.682402306,-2.148931428,0.6769242916,-0.0072234794,-0.0053049957,-0.5827825641,0.8125787109,1,0
8,-22.2302719592,-3.0656442799,0.696357846,-0.0108778906,-0.0090844648,-0.5740489237,0.8186983432,1,0
9,-21.9760463562,-4.0745752477,0.7162488634,-0.0107648166,-0.0059516152,-0.6014065823,0.7988484336,1,0
10,-21.7770125687,-5.135182369,0.7371185736,-0.0118588668,-0.0054375103,-0.611669813,0.7910055883,1,0
11,-21.3936974549,-6.0935677119,0.7604976919,-0.0157228735,-0.0032423628,-0.6227316082,0.7822708115,1,0
12,-21.2396785109,-7.0831683844,0.7846973023,-0.016736951,-0.0144318015,-0.6334625425,0.7734576943,1,0
13,-21.1103714976,-8.0932136076,0.8316026318,-0.0241414664,-0.0192675599,-0.6556125072,0.7544655003,1,0
14,-21.1950458267,-9.1007570479,0.9089118449,-0.0275366429,-0.0151627543,-0.7129857008,0.7004735645,1,0
15,-21.3010307934,-10.1102666004,0.9258311522,-0.0168729876,-0.0170597234,-0.7681873387,0.6397753362,1,0
16,-21.3738763943,-11.129125492,0.9321081616,-0.0190339024,-0.0253144738,-0.8141875784,0.5797374191,1,0
17,-21.5876821623,-12.183526684,0.9921130275,-0.0178614499,-0.0198382557,-0.8445141938,0.5348674496,1,0
18,-21.9770187717,-13.1914305766,1.0294605519,0.0258267046,0.0060138646,0.8929918609,-0.4492909427,1,0
19,-22.5853799516,-14.0562115381,1.0866987763,0.032276543,0.0089056067,0.9232303032,-0.382785478,1,0
20,-23.2819542827,-14.8562025746,1.104600933,0.0240850554,-0.0075301547,0.9350247082,-0.3536834771,1,0
21,-23.854501132,-15.7189376322,1.1188372089,0.0222037167,-0.0183013475,0.9273538489,-0.3730775986,1,0
22,-24.3923490745,-16.6353590251,1.1459312841,0.033365398,-0.0161935855,0.8977387416,-0.438964315,1,0
23,-25.0228882604,-17.4323806557,1.2628188708,0.0719791531,0.0048933179,0.9088850847,-0.4107590045,1,0
24,-25.4643531608,-18.3498806048,1.34918831,0.04574655,0.0060533402,0.8989506046,-0.4356126957,1,0
