,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,37.0028114319,-5.1228785515,0,0,0,-0.1420252174,0.9898630381,1
1,1,38.0076980591,-5.2961034775,0,0,0,-0.0997512415,0.9950124025,1
2,2,39.0711898804,-5.4269967079,0,0,0,-0.0687087625,0.9976367354,1
3,3,40.0941085815,-5.5295209885,0,0,0,-0.0385399684,0.9992570877,1
4,4,41.1730995178,-5.5540776253,0,0,0,0.0042748544,0.9999908805,3
5,5,42.2530136108,-5.5949649811,0,0,0,-0.0431873277,0.9990670085,1
6,6,43.2601509094,-5.697204113,0,0,0,-0.0832739547,0.9965267181,1
7,7,44.2459526062,-5.8761916161,0,0,0,-0.115674004,0.9932872057,1
8,8,45.3226585388,-6.1271953583,0,0,0,-0.0699187294,0.9975526929,1
9,9,46.347618103,-6.20672369,0,0,0,-0.0161098,0.9998702407,1
10,10,47.4806365967,-6.3185100555,0,0,0,-0.1012879089,0.9948571324,1
11,11,48.3617477417,-6.8700637817,0,0,0,-0.4376944602,0.8991237879,1
12,12,48.816242218,-7.7868041992,0,0,0,-0.6381651163,0.7698995471,1
13,13,48.6364936829,-8.7790384293,0,0,0,-0.9297240973,0.3682567775,1
14,14,47.5324783325,-8.9266281128,0,0,0,0.9846630692,0.1744668931,1
15,15,46.5444030762,-8.5656862259,0,0,0,0.9825617671,0.1859365106,1
16,16,45.4948005676,-8.2388057709,0,0,0,0.9924049973,0.1230135188,1
17,17,44.5143814087,-8.019616127,0,0,0,0.9963146448,0.0857735202,1
18,18,43.4814033508,-7.8816657066,0,0,0,0.998480916,0.0550983511,2
19,19,42.4555091858,-7.7809939385,0,0,0,0.9975380898,0.0701269358,2
20,20,41.47133255,-7.5402793884,0,0,0,0.9881758094,0.1533248723,2
21,21,40.4974212646,-7.2186393738,0,0,0,0.9876260161,0.1568273753,2
22,22,39.5370330811,-6.8023948669,0,0,0,0.9681076407,0.2505345941,2
23,23,38.7021598816,-6.1905884743,0,0,0,0.9450386167,0.3269586861,2
24,24,37.9064712524,-5.5637083054,0,0,0,0.9409188628,0.3386320174,2
25,25,37.0097618103,-4.9883618355,0,0,0,0.9659048319,0.2588973641,2
