,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,0.0579427964985,21.423992157,0.0,0.0,0.0,0.491796702147,0.870710074902,1.0
1,1,-0.389518558979,21.147228241,0.0,0.0,0.0,0.928532600403,0.371250867844,1.0
2,2,0.446815937757,22.2093162537,0.0,0.0,0.0,0.535360872746,0.844623446465,1.0
3,3,0.368934452534,21.9127311707,0.0,0.0,0.0,0.42805147171,0.903754353523,1.0
4,4,0.680011153221,21.8425979614,0.0,0.0,0.0,0.281767725945,0.95948266983,1.0
5,5,0.980719029903,21.9046287537,0.0,0.0,0.0,0.244995489717,0.969524204731,1.0
6,6,1.29901111126,21.9367599487,0.0,0.0,0.0,0.24525462091,0.969458699226,1.0
7,7,1.65158057213,22.0632457733,0.0,0.0,0.0,0.245965018868,0.969278693199,1.0
8,8,1.97806477547,22.2061767578,0.0,0.0,0.0,0.244250074029,0.969712257385,1.0
9,9,2.26781535149,22.3521137238,0.0,0.0,0.0,0.24505341053,0.969509601593,1.0
10,10,2.57147336006,22.5182170868,0.0,0.0,0.0,0.250343114138,0.968157172203,1.0
11,11,2.82894778252,22.6755371094,0.0,0.0,0.0,0.24630536139,0.969192266464,1.0
12,12,3.10039901733,22.8246040344,0.0,0.0,0.0,0.238359317183,0.971177041531,1.0
13,13,3.39195942879,22.9823436737,0.0,0.0,0.0,0.229173928499,0.973385512829,1.0
14,14,3.68008089066,23.1306343079,0.0,0.0,0.0,0.202309861779,0.979321539402,1.0
15,15,4.01523351669,23.2577285767,0.0,0.0,0.0,0.145787283778,0.989315986633,1.0
16,16,4.43342208862,23.4631156921,0.0,0.0,0.0,0.760313391685,0.649556398392,1.0
17,17,5.59059858322,18.62541008,0.0,0.0,0.0,-0.999032497406,0.0439779311419,1.0
