,x,y,z,qx,qy,qz,qw,type
72,-45.0046768188,14.189324379,0.0,0.0,0.0,-0.139632835984,0.99020332098,1.0
73,-43.9635353088,13.9148178101,0.0,0.0,0.0,-0.128958106041,0.991650044918,1.0
74,-42.9671211243,13.6418781281,0.0,0.0,0.0,-0.137993767858,0.990433096886,1.0
75,-41.9949302673,13.3400688171,0.0,0.0,0.0,-0.165901258588,0.986142396927,1.0
76,-40.9880485535,13.1052322388,0.0,0.0,0.0,-0.0866147428751,0.996241867542,1.0
77,-39.967792511,12.8734388351,0.0,0.0,0.0,-0.159587681293,0.987183749676,1.0
78,-38.9714622498,12.4567098618,0.0,0.0,0.0,-0.252088546753,0.967704176903,1.0
79,-37.9998474121,11.965549469,0.0,0.0,0.0,-0.230495154858,0.973073482513,1.0
80,-37.0738639832,11.4927558899,0.0,0.0,0.0,-0.273268550634,0.961937785149,1.0
81,-36.2212982178,10.9516010284,0.0,0.0,0.0,-0.32546427846,0.945554316044,1.0
82,-35.3662719727,10.3261022568,0.0,0.0,0.0,-0.278687059879,0.960381984711,1.0
83,-34.4315338135,9.83454704285,0.0,0.0,0.0,-0.261840820312,0.965111076832,1.0
84,-33.5316925049,9.31011390686,0.0,0.0,0.0,-0.259393066168,0.965771853924,1.0
85,-32.5980262756,8.85080814362,0.0,0.0,0.0,-0.212160170078,0.977234899998,1.0
86,-31.7072029114,8.39214515686,0.0,0.0,0.0,-0.259787917137,0.965665698051,1.0
87,-30.84425354,7.8079328537,0.0,0.0,0.0,-0.317987471819,0.948094904423,1.0
88,-30.0326747894,7.08391857147,0.0,0.0,0.0,-0.334094911814,0.942539453506,1.0
89,-29.1826992035,6.50295639038,0.0,0.0,0.0,-0.184983327985,0.982741653919,1.0
