,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,36.757976532,-5.19832515717,0.0,0.0,0.0,-0.147938281298,0.988996565342,1.0
1,1,37.8359794617,-5.15975284576,0.0,0.0,0.0,0.16114218533,0.986931204796,1.0
2,2,38.8305625916,-4.81211996078,0.0,0.0,0.0,0.0790401250124,0.9968714118,1.0
3,3,39.8427276611,-4.7427983284,0.0,0.0,0.0,-0.021161403507,0.99977606535,1.0
4,4,40.8431015015,-4.87619924545,0.0,0.0,0.0,-0.102909833193,0.994690716267,1.0
5,5,41.8524436951,-5.13242578506,0.0,0.0,0.0,-0.171666443348,0.985155105591,1.0
6,6,42.9162406921,-5.44904613495,0.0,0.0,0.0,-0.0964875221252,0.995334208012,1.0
7,7,43.8851318359,-5.6995472908,0.0,0.0,0.0,-0.171899318695,0.985114514828,1.0
8,8,44.8290328979,-6.04047966003,0.0,0.0,0.0,-0.185430929065,0.982657313347,1.0
9,9,45.8167304993,-6.29071855545,0.0,0.0,0.0,-0.113276034594,0.993563532829,1.0
10,10,46.8709220886,-6.58155012131,0.0,0.0,0.0,-0.189369663596,0.98190587759,1.0
11,11,47.877986908,-7.09937524796,0.0,0.0,0.0,-0.290807127953,0.956781685352,1.0
12,12,48.7151679993,-7.72867488861,0.0,0.0,0.0,-0.337932914495,0.941170215607,1.0
13,13,49.5173683167,-8.40076160431,0.0,0.0,0.0,-0.26390811801,0.964547812939,1.0
14,14,50.4451065063,-8.77584266663,0.0,0.0,0.0,-0.141928821802,0.989876866341,1.0
15,15,51.4511795044,-8.80100536346,0.0,0.0,0.0,0.0412546917796,0.999148666859,1.0
16,16,52.5285453796,-8.64990139008,0.0,0.0,0.0,0.0737131610513,0.997279465199,1.0
17,17,53.5162315369,-8.45258235931,0.0,0.0,0.0,0.100902192295,0.994896352291,1.0
18,18,54.4880447388,-8.1932926178,0.0,0.0,0.0,0.379639953375,0.925134301186,1.0
19,19,53.4755439758,-8.1290397644,0.0,0.0,0.0,0.996132791042,0.0878604725003,1.0
20,20,52.4726486206,-7.93949270248,0.0,0.0,0.0,0.995434343815,0.0954490751028,2.0
21,21,51.4801864624,-7.69207048416,0.0,0.0,0.0,0.99472284317,0.102598726749,2.0
22,22,50.520904541,-7.40953207016,0.0,0.0,0.0,0.994930744171,0.100562371314,2.0
23,23,49.5331306458,-7.1235370636,0.0,0.0,0.0,0.991429269314,0.130644544959,2.0
24,24,48.522819519,-6.90620040894,0.0,0.0,0.0,0.991407454014,0.130810007453,2.0
25,25,47.5778999329,-6.48387956619,0.0,0.0,0.0,0.972847521305,0.231446996331,2.0
26,26,46.6456718445,-6.04251623154,0.0,0.0,0.0,0.978286683559,0.207256406546,2.0
27,27,45.7003440857,-5.65470075607,0.0,0.0,0.0,0.982756495476,0.184904485941,2.0
28,28,44.7074928284,-5.42256498337,0.0,0.0,0.0,0.997252464294,0.0740777105093,2.0
29,29,43.6700363159,-5.37042236328,0.0,0.0,0.0,-0.999557375908,0.0297498479486,2.0
30,30,42.6238288879,-5.46046590805,0.0,0.0,0.0,-0.999614059925,0.0277803707868,2.0
31,31,41.6109924316,-5.52808189392,0.0,0.0,0.0,-0.99994212389,0.0107563603669,2.0
32,32,40.6109886169,-5.51653432846,0.0,0.0,0.0,0.999860644341,0.0166926532984,2.0
