,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,37.0028114319,-5.12287855148,0.0,0.0,0.0,-0.142025217414,0.989863038063,1.0
1,1,38.0076980591,-5.29610347748,0.0,0.0,0.0,-0.0997512415051,0.995012402534,1.0
2,2,39.0711898804,-5.42699670792,0.0,0.0,0.0,-0.0687087625265,0.997636735439,1.0
3,3,40.0941085815,-5.52952098846,0.0,0.0,0.0,-0.038539968431,0.999257087708,1.0
4,4,41.1730995178,-5.55407762527,0.0,0.0,0.0,0.00427485443652,0.999990880489,1.0
5,5,42.2530136108,-5.59496498108,0.0,0.0,0.0,-0.043187327683,0.999067008495,1.0
6,6,43.2601509094,-5.69720411301,0.0,0.0,0.0,-0.0832739546895,0.99652671814,1.0
7,7,44.2459526062,-5.87619161606,0.0,0.0,0.0,-0.115674003959,0.993287205696,1.0
8,8,45.3226585388,-6.12719535828,0.0,0.0,0.0,-0.0699187293649,0.99755269289,1.0
9,9,46.347618103,-6.20672369003,0.0,0.0,0.0,-0.0161097999662,0.999870240688,1.0
10,10,47.4806365967,-6.31851005554,0.0,0.0,0.0,-0.101287908852,0.994857132435,1.0
11,11,48.3617477417,-6.87006378174,0.0,0.0,0.0,-0.437694460154,0.89912378788,1.0
12,12,48.816242218,-7.78680419922,0.0,0.0,0.0,-0.63816511631,0.7698995471,1.0
13,13,48.6364936829,-8.77903842926,0.0,0.0,0.0,-0.929724097252,0.368256777525,1.0
14,14,47.5324783325,-8.92662811279,0.0,0.0,0.0,0.984663069248,0.174466893077,1.0
15,15,46.5444030762,-8.56568622589,0.0,0.0,0.0,0.982561767101,0.185936510563,1.0
16,16,45.4948005676,-8.23880577087,0.0,0.0,0.0,0.992404997349,0.123013518751,1.0
17,17,44.5143814087,-8.01961612701,0.0,0.0,0.0,0.996314644814,0.0857735201716,1.0
18,18,43.4814033508,-7.88166570663,0.0,0.0,0.0,0.998480916023,0.0550983510911,2.0
19,19,42.4555091858,-7.78099393845,0.0,0.0,0.0,0.997538089752,0.0701269358397,2.0
20,20,41.47133255,-7.54027938843,0.0,0.0,0.0,0.988175809383,0.153324872255,2.0
21,21,40.4974212646,-7.21863937378,0.0,0.0,0.0,0.98762601614,0.156827375293,2.0
22,22,39.5370330811,-6.80239486694,0.0,0.0,0.0,0.968107640743,0.250534594059,2.0
23,23,38.7021598816,-6.19058847427,0.0,0.0,0.0,0.945038616657,0.326958686113,2.0
24,24,37.9064712524,-5.56370830536,0.0,0.0,0.0,0.94091886282,0.338632017374,2.0
25,25,37.0097618103,-4.98836183548,0.0,0.0,0.0,0.965904831886,0.25889736414,2.0
