,Unnamed: 0,x,y,z,qx,qy,qz,qw
0,0,-26.3400230408,59.1502227783,0.0,0.0,0.0,0.255127112019,0.966907522317
1,1,-17.3470363617,63.6485824585,0.0,0.0,0.0,0.262356459304,0.964971029752
2,2,9.97219657898,75.3040084839,0.0,0.0,0.0,0.128134664667,0.991756778505
3,3,42.0158805847,83.8623886108,0.0,0.0,0.0,0.191680128765,0.981457451058
4,4,64.5462799072,91.1641998291,0.0,0.0,0.0,-0.588348952245,0.808607142185
5,5,66.2539901733,86.5292129517,0.0,0.0,0.0,-0.590016259987,0.80739136294
6,6,64.9811019897,82.8211517334,0.0,0.0,0.0,0.962825798745,-0.27012308541
7,7,61.9610557556,77.5116577148,0.0,0.0,0.0,-0.639586544279,0.768719098486
8,8,66.0073928833,65.4565658569,0.0,0.0,0.0,-0.560914878276,0.827873480267
9,9,70.6013031006,50.1767616272,0.0,0.0,0.0,-0.619336832063,0.785125396641
10,10,81.9299697876,19.1624679565,0.0,0.0,0.0,-0.453333959371,0.891340743645
11,11,83.5668792725,6.05603122711,0.0,0.0,0.0,-0.524691238545,0.851292607858
12,12,104.680236816,-7.32746267319,0.0,0.0,0.0,-0.410805417372,0.911723044053
13,13,119.25541687,-13.0869522095,0.0,0.0,0.0,0.46981918957,0.882762668622
14,14,125.015686035,-6.7470293045,0.0,0.0,0.0,-0.315067989876,0.949069102729
15,15,135.648162842,-12.8784675598,0.0,0.0,0.0,-0.312332975829,0.949972690244
16,16,147.503479004,-18.6970996857,0.0,0.0,0.0,-0.637838892715,0.77016981695
17,17,152.86315918,-37.6889953613,0.0,0.0,0.0,-0.619337321517,0.78512501054
18,18,154.453979492,-45.6322975159,0.0,0.0,0.0,-0.725161923049,0.688578379969
19,19,155.658309937,-53.8769569397,0.0,0.0,0.0,-0.635029444297,0.772487931864
20,20,158.201858521,-65.5437850952,0.0,0.0,0.0,-0.615218137824,0.788356926076
21,21,161.975097656,-79.656463623,0.0,0.0,0.0,-0.619338029794,0.785124451823
22,22,166.152816772,-99.4610290527,0.0,0.0,0.0,0.992535194833,-0.121958546308
23,23,145.154052734,-103.684486389,0.0,0.0,0.0,0.995211369125,-0.0977462570394
24,24,102.759918213,-108.894897461,0.0,0.0,0.0,0.999408262874,-0.0343965710383
25,25,76.2788391113,-109.591537476,0.0,0.0,0.0,0.948091152045,0.317998690901
26,26,20.2385253906,-68.8216323853,0.0,0.0,0.0,0.947640369449,0.319339521812
27,27,3.87390470505,-55.5421562195,0.0,0.0,0.0,0.757398784971,0.652952586735
28,28,-1.05610346794,-33.0678138733,0.0,0.0,0.0,0.761697679242,0.647932593283
29,29,-6.35373878479,3.79375529289,0.0,0.0,0.0,0.761399283186,0.648283218635
