,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,37.5175437927,-5.19150924683,0.0,0.0,0.0,-0.164939537644,0.986303687096,1.0
1,1,38.6555862427,-5.62945508957,0.0,0.0,0.0,-0.189802840352,0.981822252274,1.0
2,2,39.6768188477,-5.99219512939,0.0,0.0,0.0,-0.159274175763,0.987234413624,1.0
3,3,40.7533302307,-6.28435277939,0.0,0.0,0.0,-0.0855408459902,0.996334671974,1.0
4,4,41.750289917,-6.41735315323,0.0,0.0,0.0,-0.0416144914925,0.999133765697,1.0
5,5,42.7878494263,-6.5667386055,0.0,0.0,0.0,-0.128712922335,0.991681873798,1.0
6,6,43.8538894653,-6.88065814972,0.0,0.0,0.0,-0.175595030189,0.984462499619,1.0
7,7,44.8772201538,-7.37426328659,0.0,0.0,0.0,-0.264671981335,0.964338481426,1.0
8,8,45.8561973572,-8.02792835236,0.0,0.0,0.0,-0.336948633194,0.941523015499,1.0
9,9,46.7156791687,-8.73618412018,0.0,0.0,0.0,-0.296820312738,0.954933345318,1.0
10,10,47.6582374573,-9.07754230499,0.0,0.0,0.0,-0.140783429146,0.990040421486,1.0
11,11,48.6485671997,-9.22821331024,0.0,0.0,0.0,-0.0351604670286,0.999381661415,1.0
12,12,49.6676483154,-9.07772827148,0.0,0.0,0.0,0.144509941339,0.989503324032,1.0
13,13,50.6301841736,-8.71815872192,0.0,0.0,0.0,0.230594441295,0.973049938679,1.0
14,14,51.6133995056,-8.42567634583,0.0,0.0,0.0,0.160600051284,0.987019538879,1.0
15,15,52.636051178,-8.09475135803,0.0,0.0,0.0,0.149363651872,0.988782346249,1.0
16,16,53.6316604614,-7.84609222412,0.0,0.0,0.0,0.101549588144,0.994830489159,1.0
17,17,54.6981430054,-7.59790706635,0.0,0.0,0.0,0.0813625007868,0.996684551239,1.0
18,18,55.7741546631,-7.55211448669,0.0,0.0,0.0,-0.0842864960432,0.996441543102,1.0
19,19,54.5604629517,-7.79473400116,0.0,0.0,0.0,-0.190898373723,0.98160982132,2.0
20,20,56.0575485229,-8.47070980072,0.0,0.0,0.0,-0.180351018906,0.983602285385,2.0
21,21,55.1558647156,-8.00163459778,0.0,0.0,0.0,0.999862730503,0.0165680982172,2.0
22,22,54.1508369446,-7.93861675262,0.0,0.0,0.0,0.9940097332,0.109291389585,2.0
23,23,53.1697044373,-7.63361167908,0.0,0.0,0.0,0.980072081089,0.198642224073,2.0
24,24,52.1868629456,-7.22848558426,0.0,0.0,0.0,0.973252475262,0.229738146067,2.0
25,25,51.1956710815,-6.94431114197,0.0,0.0,0.0,0.998061776161,0.0622304789722,2.0
26,26,50.1433143616,-6.85894489288,0.0,0.0,0.0,0.999989390373,0.00460666371509,2.0
27,27,49.0820808411,-6.83144044876,0.0,0.0,0.0,-0.999691605568,0.0248338244855,2.0
28,28,48.0288505554,-6.85483551025,0.0,0.0,0.0,-0.999001264572,0.0446820035577,2.0
29,29,46.9920043945,-7.0018029213,0.0,0.0,0.0,-0.992652952671,0.120996542275,2.0
30,30,45.9440193176,-7.13038015366,0.0,0.0,0.0,0.999919474125,0.0126880146563,2.0
31,31,44.93907547,-6.90560007095,0.0,0.0,0.0,0.975945293903,0.218015655875,2.0
32,32,44.0237236023,-6.50001192093,0.0,0.0,0.0,0.978676557541,0.205407485366,2.0
33,33,43.0556335449,-6.22874116898,0.0,0.0,0.0,0.996523797512,0.0833086669445,2.0
34,34,42.0402755737,-6.15065383911,0.0,0.0,0.0,-0.999564945698,0.0294944941998,2.0
35,35,41.0429954529,-6.2892408371,0.0,0.0,0.0,-0.998944997787,0.0459226481616,2.0
36,36,39.9885864258,-6.21686124802,0.0,0.0,0.0,0.982843160629,0.184443354607,2.0
