,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,-27.958486557,60.4930610657,0,0,0,0.2056377358,0.9786281835,0
1,1,48.1805915833,85.8613052368,0,0,0,0.1230095272,0.9924054898,0
2,2,57.8593482971,83.5446166992,0,0,0,-0.4189503324,0.9080091514,0
3,3,61.2255859375,73.5128479004,0,0,0,-0.575607736,0.817725953,0
4,4,75.1906509399,28.4873046875,0,0,0,-0.6416775831,0.7669744972,0
5,5,57.8604545593,82.7826690674,0,0,0,0.7947644458,0.606918014,2
6,6,56.3040313721,88.4629135132,0,0,0,0.9835717497,-0.1805176259,0
7,7,-27.2957057953,60.9551391602,0,0,0,0.9781800149,-0.2077591358,0
