,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,-75.7437744141,-44.6830863953,0.0,0.0,0.0,0.261138141155,0.965301454067,1.0
1,1,-74.8461456299,-44.0743637085,0.0,0.0,0.0,0.355531156063,0.934664428234,1.0
2,2,-74.0086212158,-43.5177612305,0.0,0.0,0.0,0.243495494127,0.969902038574,1.0
3,3,-73.1362991333,-42.9341125488,0.0,0.0,0.0,0.280520260334,0.959848105907,1.0
4,4,-72.2630004883,-42.3763809204,0.0,0.0,0.0,0.263992667198,0.964524686337,1.0
5,5,-71.3662643433,-41.8218269348,0.0,0.0,0.0,0.305950969458,0.952047288418,1.0
6,6,-70.5227279663,-41.1729545593,0.0,0.0,0.0,0.318438589573,0.947943508625,1.0
7,7,-69.6867141724,-40.4803962708,0.0,0.0,0.0,0.36179214716,0.932258784771,1.0
8,8,-70.3050308228,-39.3802452087,0.0,0.0,0.0,0.450589627028,0.892731189728,1.0
9,9,-69.6728591919,-38.5743408203,0.0,0.0,0.0,0.308497488499,0.951225161552,1.0
10,10,-68.702545166,-38.1596870422,0.0,0.0,0.0,0.316062748432,0.948738276958,1.0
11,11,-67.7078170776,-38.0474624634,0.0,0.0,0.0,0.32200884819,0.946736633778,1.0
12,12,-66.7029647827,-38.1916732788,0.0,0.0,0.0,0.25289145112,0.967494666576,1.0
13,13,-65.7934570312,-37.67603302,0.0,0.0,0.0,0.270439952612,0.962736845016,1.0
14,14,-64.9278106689,-37.1614265442,0.0,0.0,0.0,0.261948019266,0.965081989765,1.0
15,15,-64.0697021484,-36.6301841736,0.0,0.0,0.0,0.282710254192,0.959205329418,1.0
16,16,-63.168598175,-36.0678672791,0.0,0.0,0.0,0.227445989847,0.973790705204,1.0
17,17,-62.2519302368,-35.6344718933,0.0,0.0,0.0,0.218472957611,0.975843012333,2.0
18,18,-61.3802909851,-35.1439056396,0.0,0.0,0.0,0.22925272584,0.97336691618,2.0
