,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,-0.0319375358522,-0.902986347675,0.0,0.0,0.0,-0.699801743031,0.714337110519,1.0
1,1,-2.70058178902,-0.662782013416,0.0,0.0,0.0,0.957065105438,0.289873033762,1.0
2,2,-3.55120205879,-0.109577864408,0.0,0.0,0.0,0.944921731949,0.327296406031,1.0
3,3,-4.4091796875,0.468073040247,0.0,0.0,0.0,0.940179884434,0.340678364038,1.0
4,4,-5.28217315674,1.00130724907,0.0,0.0,0.0,0.954634428024,0.297780245543,1.0
5,5,-6.19398164749,1.45187556744,0.0,0.0,0.0,0.956747829914,0.290918499231,1.0
6,6,-6.26039838791,1.49409663677,0.0,0.0,0.0,0.962456285954,0.271436721087,1.0
7,7,-10.2778978348,0.102809660137,0.0,0.0,0.0,-0.447242230177,0.894412875175,1.0
8,8,-10.2831363678,0.0958671048284,0.0,0.0,0.0,-0.58688724041,0.809668660164,1.0
9,9,-33.0849761963,5.07478904724,0.0,0.0,0.0,0.903247952461,0.429118990898,1.0
10,10,-32.3576316833,4.38006019592,0.0,0.0,0.0,-0.17902007699,0.983845412731,1.0
11,11,-31.4785251617,3.88264679909,0.0,0.0,0.0,-0.282729536295,0.959199666977,1.0
12,12,-30.5321559906,3.42274999619,0.0,0.0,0.0,-0.26717492938,0.963648021221,1.0
13,13,-29.5853385925,3.03804707527,0.0,0.0,0.0,-0.264688432217,0.964334011078,1.0
14,14,-28.5954322815,2.72744345665,0.0,0.0,0.0,-0.979582548141,0.201042443514,1.0
