,Unnamed: 0,x,y,z,qx,qy,qz,qw,type
0,0,0.424057662487,-1.30459940434,0.0,0.0,0.0,-0.712972998619,0.701191544533,1.0
1,1,-3.18343162537,-0.329306811094,0.0,0.0,0.0,0.944250047207,0.329229235649,1.0
2,2,-3.92474627495,0.384293228388,0.0,0.0,0.0,0.914301633835,0.40503397584,1.0
3,3,-4.70826911926,1.00858914852,0.0,0.0,0.0,0.966438174248,0.256899386644,1.0
4,4,-5.27026510239,0.174794852734,0.0,0.0,0.0,-0.861051619053,0.508517563343,1.0
5,5,-5.38517999649,0.463395148516,0.0,0.0,0.0,-0.0851878747344,0.996364891529,1.0
6,6,-1.11171722412,-4.04275131226,0.0,0.0,0.0,0.860148847103,0.510043084621,1.0
