,Unnamed: 0,Unnamed: 0.1,x,y,z,qx,qy,qz,qw,type
0,0,0,-4.5673551559,0.3636809587,0,0,0,0.9464313312,0.3229051492,0
1,1,1,-7.2632141113,2.523455143,0,0,0,0.97108834,0.2387204137,0
2,2,2,-4.9014286995,1.470764041,0,0,0,-0.2377543255,0.9713253218,2
3,3,3,-1.4603767395,-1.4314662218,0,0,0,-0.2696104148,0.9629694825,0
