,Unnamed: 0,x,y,z,qx,qy,qz,qw
0,0,5.46062374115,7.71669483185,0.0,0.0,0.0,0.980970402852,-0.194157329836
1,1,3.55950689316,6.76261758804,0.0,0.0,0.0,0.973965835455,-0.226694841947
2,2,0.747765004635,5.11609220505,0.0,0.0,0.0,0.979058442368,-0.20357938606
3,3,-2.07155847549,4.61353588104,0.0,0.0,0.0,0.956674079366,-0.291160962131
4,4,-4.35683727264,3.5255947113,0.0,0.0,0.0,0.969610980289,-0.244651889229
